    GeneID	GSM8021754	GSM8021757	GSM8021758	GSM8021759	GSM8021760	GSM8021761	GSM8021762	GSM8021764	GSM8021765	GSM8021767	GSM8021769	GSM8021772	GSM8021773	GSM8021774	GSM8021775
100287102	0.2561	0.2645	0.2826	1.707	0.3864	0.5891	1.621	0.1022	0.2974	0.2814	0.2401	0.05446	1.548	0.05193	0.7693
653635	22.3	28.8	24.02	57.22	49.8	27.05	21.2	37.7	34.16	45.99	15.38	23.8	31.99	31.47	18.05
102466751	0	8.263	6.865	27.65	22.8	71.56	11.26	29.8	47.86	32.82	12.83	22.49	42.31	39.11	21.03
107985730	0.1966	0.6963	0.1446	1.748	0.339	0	1.423	0	0	0	0.4424	0.8362	1.189	0	1.476
100302278	0	1.81	0	11.35	0	11.75	0	0	0	0	0.5749	0	2.317	1.243	5.756
645520	0.09358	0.6078	0.4131	0.2773	0.4035	1.005	0	0.07471	0.1087	0	0.7021	0.1592	0.1415	0	0.5623
79501	0	0.204	0	0.3414	0.298	2.474	0	0	0	0	0.3457	0.4901	0	0	0.5192
100996442	0.1729	0.2041	0.4452	5.187	0.6149	1.293	1.955	0.3105	0.389	0.285	0.389	0.3677	1.209	0.3155	0.5194
729737	0.6955	3.182	2.146	5.439	1.899	0.5926	1.328	1.511	1.032	1.257	1.985	3.994	3.125	4.137	1.886
102725121	0	0.5051	0.1937	0.7801	0.6242	0.4038	1.667	0	0.1146	0.1157	0.04937	0.28	0.8953	0.1068	0.5931
102723897	13.57	34.25	30.13	39.33	41.27	33.99	45.63	36.43	35.6	40.39	14.37	24.78	27.69	30.69	17.32
102465909	0	5.509	8.01	27.65	12.07	21.47	5.628	11.17	12.64	20.51	5.833	15.88	18.81	21.45	25.7
107985721	0.1172	0.4845	0.2588	0.8107	0.2022	1.738	5.374	0.09359	0.1362	0	0.2639	0.03325	0.827	0.0634	1.057
112268260	0.04812	0.3314	0.2832	1.664	0.2351	1.673	1.973	0.1409	0.1397	0.07051	0.3851	0.1228	1.212	0.07807	0.5301
729759	0.1126	0.06649	0.08286	0.6675	0.09712	0.8637	0	0	0.0654	0	0.3379	0	0	0	0
100132287	0.968	2.9	2.048	3.155	1.544	2.19	1.926	1.256	0.7026	1.106	1.706	4.118	3.073	3.317	1.381
105378947	0	0.02665	0.09963	2.541	0.07785	1.523	3.103	0.1081	0.07863	0.03968	0.2032	0	0.8187	0.03661	0.678
101928626	0.1325	0.07824	0.2925	1.571	0.1143	0	0	0	0	0	0	0	0	0	0.5972
113219467	9373	4407	6756	5994	4257	1.419e+04	9206	3112	3730	4089	9579	4709	2026	6315	3332
81399	0.2013	0.3024	0.1077	0.9759	0.1893	1.038	2.251	0.1022	0.1275	0.01609	0.4255	0.06227	0.6085	0.02968	0.3573
100133331	1.287	3.112	2.422	4.034	2.156	1.898	3.403	1.106	0.6036	1.066	1.727	3.98	2.394	2.971	1.264
107984841	0	0.7417	0.2521	2.707	1.576	3.328	2.48	0.7294	0.2653	1.406	0.514	1.069	1.208	2.594	1.201
107984847	0	0.5149	0.3209	0	1.128	0	7.89	1.393	1.266	1.725	0	2.597	5.933	3.361	2.62
107984849	0	0.8919	0.2779	0	1.954	6.952	0	0.603	0.4386	0.9962	0.2833	1.928	1.142	2.145	4.539
100288069	0.07713	1.047	0.2838	0	1.264	4.259	4.187	0.6773	1.12	1.017	0.1736	0.2625	2.332	1.377	2.781
105378580	0.06175	0.2187	0.2272	1.464	0.1597	0.03157	1.639	0.2136	0.2988	0.07239	0.247	0.1051	0.4045	0.1503	0.09276
400728	0	0.1285	0.6804	0	0.8913	1.752	0	0.304	0.3159	0.2391	0.8978	0.09257	0.4934	0.04413	1.144
79854	1.044	0.9481	0.709	0.7139	1.108	0	0	2.564	2.192	2.542	1.807	2.528	1.942	1.563	1.809
643837	0.5154	0.6762	0.9691	1.629	1.748	2.583	1.451	1.308	0.9578	1.48	1.212	1.218	2.199	1.412	1.256
107984850	0.04309	0.1781	0	1.277	0	0.4627	0	0.172	0.1001	0.2652	0.06466	0.07333	0.456	0.06991	0.3884
284593	0	0.1464	0.228	0	0.05346	0	0.6729	0.04949	0.144	0	0.372	0.9493	0.6559	0	0.3725
284600	0.05482	0.04855	0.08067	2.437	0.3309	1.892	1.785	0.3282	0.2228	0.0964	0.04113	0.09329	0.6215	0.08894	0.1647
100130417	0	0.2073	0.1033	0	0.4239	0	0	0.7848	0.04078	0	0.3161	0	0.3184	0.5126	0.7384
107985728	0.08701	0.2055	0.02134	1.461	0.1001	0	3.883	0.04631	0	0	0.4569	0.04936	0	0	0.04357
148398	11.5	14.65	12.9	11.52	7.24	3.997	7.483	4.424	4.539	2.764	10.05	6.651	7.565	5.334	4.411
26155	43.5	67.76	55.46	61.72	76.71	33.18	34.56	44.28	38.53	35.14	57.49	60.38	47.08	46.89	33.42
339451	1.581	2.763	3.253	5.355	8.766	6.583	3.737	5.565	5.36	5.419	5.35	6.397	10.29	6.937	2.715
84069	1.928	0.9197	0.8743	1.095	3.734	4.901	2.293	2.635	2.254	3.575	4.714	5.302	7.304	4.412	5.236
84808	0.2925	0.3454	0.4305	1.647	0.555	2.558	2.223	0.4671	0.7135	0.2315	1.931	1.02	0.8402	0.7593	1.143
57801	6.554	3.512	10.33	22.03	16.01	33.96	15.94	10.03	9.307	7.603	21.98	6.701	6.827	6.389	3.392
9636	17.93	8.331	29.93	30.99	3.293	6.621	23.43	18.55	44.54	27.73	10.46	10.31	18.82	27.74	11.97
375790	38.27	34.64	26.22	36.59	121.7	64.85	71.15	101.4	76.02	115.7	74.2	95.79	94.59	106.3	77.12
100288175	1.194	1.41	1.198	2.252	2.903	2.998	1.964	2.514	2.396	1.814	1.792	3.88	6.565	2.818	2.447
112267874	1.33	1.201	1.18	0.6956	3.745	4.381	5.097	3.092	2.658	3.165	1.379	1.398	4.554	1.682	1.175
105378948	0.5795	0.8125	0.7195	2.683	2.686	2.389	1.311	1.995	2.608	2.07	1.277	3.574	3.996	2.791	2.339
401934	3.117	1.052	2.785	3.794	2.448	7.598	5.841	11.06	6.981	9.2	7.641	2.983	9.087	9.346	7.023
54991	6.262	6.777	4.671	6.314	12.11	8.27	15.73	11.87	9.949	13.73	6.002	13.1	17.09	17.35	8.884
254099	0.2611	0.3469	0.1441	2.321	0.1126	0	0	0.3127	0.2654	0.3444	0.1959	0.05554	0.7894	0.2648	0.09806
406984	0	1.314	3.276	0	21.12	0	0	16.88	10.34	30.34	10.86	16.1	25.24	65.01	15.05
406983	10.57	2.081	6.052	55.71	33.44	73.89	0	21.57	18.42	52.69	23.8	25.99	23.09	94.36	35.3
554210	1.274	9.779	7.5	49.08	31.86	0	4.611	41.7	28.12	36.97	44.92	89.98	40.45	173.6	86.13
100506376	0.3545	0.2093	0.4472	0.9756	0.02184	0.738	1.1	0.02022	0.07353	0	0.323	0.1293	0.07656	0.3698	0.4565
254173	0.09846	0.2471	0.2355	4.085	0.1274	2.643	3.741	0.6092	0.2716	0.3679	0.554	0.8797	1.6	1.438	2.293
8784	0.08608	0.02541	0.1583	2.041	0.1856	0	3.271	0.6872	0.2499	0.1135	0.2583	0.07324	3.188	0.2444	1.228
7293	0	0.1361	0.2332	0.5122	0	1.016	6.255	0.023	0.05019	0.02533	0.1513	0.04902	0.479	0.04674	0.6924
51150	64.93	53.23	50.83	73.07	94.8	108.8	64.59	187.6	219.8	213.2	74.83	73.11	101.7	144.1	93.64
126792	13.72	21.08	14.56	12.4	24.32	1.504	12.55	11.65	5.473	7.956	16.57	13.83	6.611	7.951	7.533
388581	3.878	1.765	5.885	6.703	4.11	14.62	6.139	5.869	11.73	10.44	3.515	4.743	9.648	12.58	1.578
118424	17.51	20.3	20.47	23.34	24.64	14.66	24.79	25.56	23.36	22.96	23.45	18.96	19.06	22.86	20.55
101928895	0.3797	0.1121	0	1.313	1.037	1.65	6.412	1.415	0.735	1.002	0.4748	0.5385	3.157	2.156	2.092
6339	0.6925	1.247	1.478	4.105	1.463	0.9029	5.513	1.935	2.574	2.009	1.221	1.797	3.35	3.539	2.913
116983	6.92	12.91	11.6	20.89	18.81	12.84	6.751	10.71	7.621	10.52	13.18	17.28	9.883	11.42	7.378
102465434	0	0	0	0	0	0	0	1.384	3.02	0	0	0	0	0	0
109623456	1.259	0.7433	0	0	6.514	9.655	0	1.005	1.462	7.748	4.722	2.142	11.42	2.042	3.782
126789	18.35	28.92	26.56	42.17	13.56	4.136	16.26	23.68	13.09	15.74	17.92	14.4	10.87	15.98	6.188
54973	45.86	54.29	43.27	60.32	52.66	24.37	37.85	52.7	42.12	43.71	37.36	51.99	42.26	58.18	32.99
102465435	1.627	0.9605	4.788	0	7.015	0	0	2.598	3.779	1.43	8.544	5.537	7.378	1.32	7.332
80772	10.5	13.2	12.79	17.83	17.18	7.094	6.292	18.43	16.5	24.83	16.15	14.62	8.674	21.95	14.89
83756	0.3811	0.6577	0.302	0.7819	0.4804	0.7195	0.1061	0.9596	1.004	0.6702	0.5059	0.2744	2.039	0.9037	2.422
1855	17.4	17.59	14.01	24	59.12	45.56	32.39	85.89	77.52	87.39	51.59	51.35	111.2	98.23	54.89
102466740	0	3.175	2.638	0	6.183	32.99	0	5.724	4.163	11.03	14.79	15.25	10.84	1.454	2.693
54587	0.3058	1.289	1.253	2.395	1.996	2.144	0.7113	1.813	1.661	1.632	1.36	2.899	6.669	7.76	3.347
54998	165.8	198.9	200.2	233.1	123.2	148.8	166.3	120.9	175.3	117.2	142.6	90.4	88.01	132.7	60.16
81669	9.035	17.15	15.84	15.95	42.45	17.6	17.37	40.53	38.13	43.33	22.24	37.35	47.16	65.55	50.11
148413	18.51	32.93	25.77	22.41	27.02	15.96	15.76	20.09	19.81	18.25	25.87	24.3	13.81	18.8	17
55052	93.3	143.9	135.7	133.8	98.61	75.59	86.79	66.25	78.63	59.88	111.7	70.09	44.97	59.19	62.63
107984868	0	0.1296	0.1211	1.87	0.04733	0.3788	1.489	0	0.01593	0	0	0	0.3733	0	0
441869	0.285	0.1122	0.1631	0.9383	0.4369	0	3.208	0.2528	0.2206	0	0.4988	0.2155	2.01	0.2568	1.332
105378585	0	0.4385	0.06831	2.476	1.201	0	6.383	0.07412	0.1617	0.08163	0.4876	0.158	1.965	0.07531	0.8369
643965	0	0	0	10.19	2.224	0	0	0	0	0	0	0.1829	0	0	0
102724312	0.08857	0.8889	0.3258	5.774	3.743	0	2.884	1.343	0.4629	0.5451	1.262	3.316	3.883	2.443	3.725
107985729	0.3614	0.5121	0	2.57	0.935	0	0	0.6925	0.7556	0.5084	0.3796	1.169	0.7649	0.4691	1.194
64856	12.36	19.04	8.453	10.95	28.79	12.39	7.326	22.42	12.88	17.84	30.22	27.74	38.54	29.64	24.76
219293	0.3558	0.8725	0.5236	0.1622	0.4484	0	5.348	0.6336	0.3814	0.385	0.7391	0.8849	2.151	1.154	1.85
83858	10.27	15.12	16.03	21.45	9.588	6.754	12.33	7.691	5.829	5.162	10.75	10.79	7.447	8.143	4.664
55210	21.96	36.12	36.81	29	27.79	10.68	23.74	22.12	11.75	11.47	26.51	24.45	15.46	15.85	7.929
339453	0	0.09042	0.1127	2.95	0	0	0	0.2445	0.3113	0	0.3447	0.7167	0	0.4348	0
29101	107.4	132.6	114.1	140.1	162.5	112.2	115.9	146.8	186	157.6	136.2	127.5	154.4	165.8	138.9
643988	2.34	3.351	3.26	2.066	5.753	0	5.585	0.7552	1.157	0.6129	9.3	6.736	1.581	1.212	1.421
105378586	0	0.6549	1.224	0	1.116	0	0	0.5904	0.2147	0	1.803	2.045	2.515	0.15	2.5
142678	4.659	6.049	3.532	5.917	12.37	7.448	3.356	8.179	7.198	7.704	5.181	8.522	8.973	10.03	5.54
8510	0.9565	1.672	1.408	3.742	1.617	2.465	1.246	1.283	1.533	1.076	1.923	1.66	1.966	1.707	1.609
984	14.93	26.9	29.14	36.06	26.98	30.23	32.63	29.74	44.82	27.58	30.53	25.98	26.86	32.17	29.17
728661	2.893	7.773	4.472	6.17	21.87	8.359	15.95	17.7	12.39	17.62	6.489	12.84	15.46	16.93	16.26
8511	0.8171	0.8269	0.3435	3.805	2.416	0.8952	0	1.864	0.6778	0.3079	2.364	1.49	0	0.5681	0.526
728642	24.03	27.49	29.36	36.27	33.25	42.55	28.61	32.08	61.09	36.09	27.68	27.52	28.83	35.49	29.69
9906	2.696	4.723	3.529	4.08	6.949	4.757	5.034	4.963	4.124	4.651	2.533	4.143	4.732	5.02	4.942
112268218	5.36	8.572	8.807	15.58	7.809	8.781	6.968	7.645	6.951	6.864	7.496	4.738	4.012	5.91	5.864
65220	13.15	19.14	16.67	18.71	30.37	20.77	16.46	35.78	33.76	38.55	19.58	24.69	25.4	27.39	26.3
2782	99.03	101.6	90.48	120.1	250.8	200.3	131.9	374	323.4	386.7	168	180.3	280.6	265.6	300.8
105378949	0.3597	0.6371	0.1059	2.985	0.6824	0.5517	0.2603	1.723	1.379	1.202	0.5936	0.2448	2.719	0.2918	0.4323
163688	0.5182	0.584	0.3466	1.256	0.2031	0.07225	2.727	0.1504	0.1641	0.1243	0.106	1.002	0.4984	0.03821	0.2123
339456	4.75	9.482	4.827	0	6.34	12.32	6.548	8.307	4.663	4.376	7.806	4.138	1.197	4.863	3.908
85452	0.04287	0.1603	0.4206	2.668	0.03697	0.3069	3.361	0.03423	0.1577	0.1131	0.4181	0.04864	0.8641	0.02318	0.7299
107984872	0	0.02231	0.1946	1.232	0.06516	0	1.367	0.03016	0	0	0.05669	0	0.3427	0.03065	0.2838
105378589	0	0.1446	0.03278	1.056	0	0.3075	2.337	0	0.0388	0	0.08354	0	0.2357	0	0.5353
2563	0	0.1218	0.1973	2.629	0.08895	0.886	4.405	0.01647	0.02396	0	0.325	0.01755	1.466	0.01673	0.3409
105378590	0.1426	0.1684	0.6295	4.507	0.2049	0	9.803	0.4174	0.9108	0.9611	0	1.132	0	0.4626	0.2856
105378591	0	0.3469	0.7204	11.61	0.1689	0	0	0.6254	0.4549	0	0.5877	0	0	0.4766	0
5590	8.622	7.801	7.879	13.44	12.04	8.699	6.25	28.35	30.12	26.72	6.468	9.026	10.34	16.9	11.09
100506504	0.7596	1.545	0.5589	5.002	3.057	4.919	0	3.099	4.166	4.304	0.5065	1.939	0	3.492	2.409
199990	12.5	16.88	10.99	20.02	14.15	9.016	14.25	12.46	11.97	11.06	10.21	9.349	9.191	8.563	7.089
112268219	1.267	2.291	2.156	1.173	3.38	2.368	3.295	1.486	1.356	0.8703	1.129	2.324	2.514	2.377	2.914
105378593	0.3077	0.06056	0.6038	0	0.4423	0.7867	4.083	0.3275	0.5956	0	1.616	0.4364	0.155	0.5824	0
6497	1.558	2.551	1.604	2.89	6.777	2.405	4.601	8.243	4.802	6.817	4.16	7.573	10.82	5.646	5.357
79906	0.6309	1.933	0.966	1.819	2.264	2.014	3.702	0.844	0.7228	0.7646	1.023	1.262	1.083	1.411	1.178
100129534	1.458	3.527	1.938	0.8364	2.637	2.165	3.405	0.5258	0.1093	0.3723	1.129	3.042	1.28	0.229	1.767
11079	41.56	46.62	49.08	63.24	79.36	87.32	65.46	88.27	116.7	106.2	80.09	61.12	53.95	88.39	80.85
5192	17.46	24.05	16.15	16.6	29.68	10.54	13.45	23.29	22.15	21.49	17.88	19.75	10.24	20.03	15.6
9651	0.2531	0.409	0.3431	1.342	1.103	1.165	1.88	0.5318	0.3636	0.3514	0.2299	0.5441	2.356	0.9618	1.221
55229	1.18	2.87	1.632	6.153	9.543	4.343	2.22	11.21	11.18	11.91	5.859	7.628	12.8	11.69	9.357
388585	0	0.2919	0.09095	0.9158	0	1.327	8.499	0	0.1077	0	0.1855	0	0	0.3008	0
115110	6.319	1.852	5.542	8.888	4.877	10.08	6.131	11.46	7.552	10.47	5.582	11.32	17.65	15.92	16.37
8764	14.52	4.875	11.53	15.33	10.03	19.92	15.02	38.31	39.32	42.94	15.89	21.91	60.97	62.99	40.95
100996583	0	0	0.1115	4.49	0.392	0	0	0.8466	1.144	1.066	0	2.062	3.893	0.7374	1.138
127281	16.57	15.55	18.11	31.54	22.46	16.89	18.27	43.28	33.69	42.65	26.54	28.82	52.09	53.35	52.04
79258	3.151	3.25	3.981	8.488	3.129	0.537	4.491	5.919	6.708	5.568	4.942	4.955	7.168	10.33	8.032
105378597	0	1.368	0.2223	10.45	0	0	0	0	0.2339	0	0.9822	0	2.436	0	0.9078
100287898	0.1344	0.1235	0.1319	2.257	0.4251	0.6415	0.6486	0.3816	0.2776	0.02627	0.3137	0.305	0.2935	0.2423	0.5161
105378603	0	0	1.824	2.448	0	2.535	0	0	0	0	1.24	0	2.498	0	0
105378602	0	0	0.1001	0	0	0.4175	2.955	0	0.07904	0	0.3063	0	0.4115	0	0.4089
105378601	0	0	0	2.42	0	0.835	2.462	0	0	0	0.1021	0	1.029	0	0.4089
112268220	0	0.1254	0.4687	6.293	0.09156	0.1629	4.226	0	0	0	0.07965	0	1.123	0	0.319
107985732	0	0	0.3786	1.525	0	0	6.052	0	0	0	0.2895	0.2189	0.9724	0	0.9663
105378600	0	0.08035	0	2.42	0	1.044	2.955	0	0.07904	0	0.3063	0	1.029	0	0.6134
105378598	0	0.06655	0.08293	1.269	0.07776	0.5878	0.6526	0.03599	0.05236	0	0.2875	0.01918	0.2385	0	0.1355
107984904	0.3859	0.3038	0.1893	1.906	0	0	0.9311	0	0	0	0.5791	0.1095	1.167	0	0.9663
105378599	0	0.08035	0.2003	0.4033	0	1.461	3.94	0.1087	0.07904	0	0.3063	0	2.88	0	0.6134
140625	0	0.08689	0.3249	2.617	0.2539	2.37	0	0	0	0	0	0.2505	0	0	2.1
440556	1.237	0.5354	0.2022	0	1.493	0.548	2.287	0.4827	0.5905	0.6041	6.535	7.529	8.475	6.643	3.881
63976	0.3404	0.4235	0.2952	1.405	1.887	1.343	3.3	3.475	2.775	3.143	4.05	5.038	12.86	13.26	9.607
100422968	0	0	0	0	0	0	0	0	0	0	1.301	0	0	0	0
105378606	0	0.2021	0.2393	1.522	0.04428	0.2625	0.5574	0.02733	0.06957	0	0.2054	0.04368	0.3363	0.09718	0.5142
107984909	0.08601	0.3555	0.3481	4.715	0	0.1319	0	0.3777	0.3496	0	0.3871	0.183	0.5851	0.4186	0
105378605	0	0.2086	0.07091	0	0	0	0	0.05129	0.1306	0	0.5543	0.164	0.2914	0.05212	1.062
105378604	0.7275	1.954	1.048	1.437	4.297	0.3	2.293	0.4809	0.2499	0.04127	1.162	1.424	1.833	1.295	0.8814
27237	11	8.474	10.91	15.31	27.15	28.96	20.04	58.85	48.48	63.13	22.02	25.6	38.69	70.73	41.29
1953	1.208	4.928	1.078	1.338	14.92	1.479	7.287	5.583	1.29	2.704	3.671	4.07	9.575	2.257	2.842
105378608	0.3149	0.2686	0	0	0.1207	0	0	0.02794	0	0	0.105	0.08932	0.0529	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.655
105378607	0.3205	0.1892	0.393	0	0.4606	1.475	0	0	0.06203	0	0	0.2727	0	0	0.6419
127262	23.96	25.59	25.83	45.94	37.34	44.59	26.94	52.88	59.77	63.36	33.8	38.52	28.9	60.74	53.53
49856	8.21	15.19	9.87	15.08	22.99	15.34	14.23	18.65	14.5	19.06	15.18	12.2	12.94	13.18	11.9
7161	0.4176	0.7397	0.4609	1.181	0.6384	2.65	2.679	0.6971	0.2094	0.1502	0.9399	0.3392	0.7461	0.2772	0.5988
105378610	0	0.3751	0	0	0	0	0	0	0.08513	0	0	0.3326	0	0	0.5139
105378609	0	0.2642	0.439	0.884	0	0	3.778	0	0	0	0.2238	0.2538	3.607	0	1.344
57212	1.524	2.089	1.326	2.282	9.607	4.171	4.98	6.919	4.871	6.093	3.847	4.168	6.563	6.166	7.063
148870	0.1726	0.2548	0.1693	3.069	0.02481	0	1.874	0.02297	0.3842	0.07588	0.2374	0	0.6958	0.02334	1.253
388588	3.322	3.814	3.938	8.204	11.14	1.132	35.4	6.335	4.716	5.03	3.738	8.165	5.58	5.539	0.8317
57470	11.99	21.37	16.47	19.37	26.85	19.68	12.45	22.56	24.99	24.35	18.53	19.99	23.33	21.87	19.01
9731	3.131	4.426	4.48	5.296	11.88	4.827	8.241	8.408	7.255	8.106	4.888	7.508	10.61	8.505	8.648
1677	0.4223	1.853	1.202	2.503	2.676	1.802	3.322	2.125	1.045	0.9524	2.176	1.921	0.9991	1.772	2.289
107984910	0.326	0.1924	0.2398	0.414	0.522	0	0.1685	0.07435	0	0.08189	0.3144	0.3566	0.4223	0.07555	0
339448	4.921	6.585	6.023	9.674	13.03	12.86	11.28	9.477	9.68	10.13	8.98	11.91	9.982	9.489	7.988
100133612	0.4334	0.2559	0.5979	1.124	0.6073	0	0	0.0865	0.3461	0.4287	0.9348	0.507	0	0.1758	1.139
728716	0	0	1.507	3.862	0	4.284	0	0	0	0	0	0.6336	0	0	0
105376672	0.1129	0.3332	0.4982	3.01	0	0	0	0	0	0	0.254	0	0	0	0
105376673	0	0.103	0.5136	1.655	0.0602	0	2.778	0	0.2635	0	0.3142	0.2376	0.6859	0.02831	0.5767
284661	0	0.09031	0.2626	1.058	0	0	3.137	0	0.3849	0	0.1148	0.1301	2.081	0	0.9192
105376674	0.27	0.8502	0.596	4.267	0	0	0	0	0.1045	0	0.06752	0	1.769	0.07301	1.352
105376679	0	0.8503	0.3028	0	0	0	0	0.08212	0	0	0.07717	0	1.4	0	3.245
107985376	0	1.233	0	0	0.1637	0	0	0	0	0	0.997	0	4.018	0	0
55966	0.07286	0.1529	0.04169	1.343	0.04189	0.298	0.9667	0	0.1034	0	0.2004	0.04133	0	0.0591	0.2919
105376680	0.3224	0	0.03954	0.7962	0	0	0	0	0.0312	0	0.8062	0	0.7311	0	0
102724429	0	0.4752	0.3702	4.473	0	0	0	0.241	0	0	0	0	1.065	0	0.4535
105376681	0	0.6713	0	5.392	0	0	0	0	0	0	0	0	6.188	0.5534	0
105376682	0	0.7193	0.3586	10.83	0	0	16.75	0	0	0	0.5484	0	0	0	0.366
107984911	0	0.08409	0.0262	0.5276	0.06141	0	10.05	0	0.1034	0	0.374	0.1515	0.9688	0.02888	1.658
105376686	0.07624	0.1575	0.02805	0	0.06575	0	3.863	0	0.02214	0	0.2002	0.2595	0.05763	0.06185	0.1718
100616421	0	0	0	0	0	0	0	0	0	0	2.267	0	0	0	0
261734	0.329	0.7546	0.568	1.575	5.49	1.689	3.938	3.071	1.69	2.148	2.801	4.77	4.63	4.189	2.376
8514	0.3157	1.188	0.3194	2.28	6.346	1.937	2.356	14.05	4.548	12.73	2.916	2.182	22.82	15.04	21.64
26038	0.08589	0.1711	0.0553	2.418	0.2222	0.09881	1.049	0.04285	0.1309	0	0.451	0.6394	1.168	0.04354	0.9193
105376687	0	0	0	0	0	2.015	0	0	0	0	0.2464	0	5.461	0.2664	0
6146	637	812.2	541.6	477.8	1029	846.3	1139	882.5	782.3	626.3	779.7	500.3	849	487.6	729.9
107985733	9.908	10.15	9.224	5.393	15.17	9.304	27.8	13.56	11.39	7.289	11.22	9.806	22.01	13.78	12.76
102724450	6.714	4.129	2.47	0	7.238	13.73	19.23	2.68	4.224	0.492	5.247	8.093	15.22	1.589	0
388591	2.582	1.955	4.934	6.418	3.879	1.917	6.104	2.145	3.338	3.552	1.875	3.65	7.398	9.257	7.195
23463	14.38	26.83	25.37	28.29	43.19	21.46	23.5	43.36	28.43	39.13	33.11	37.16	29.68	33.5	49.57
148645	0.0644	1.331	0.9951	0	0.2222	0.5927	0	0.3085	1.309	0.7928	0	0.1096	3.213	0.3135	0.387
390992	0.2979	0	0	0	0	3.655	0	0	0	0	0.4469	0	0	0	1.343
387509	3.756	9.703	6.469	7.978	17.04	5.328	9.349	7.834	6.657	8.781	5.081	8.682	9.353	8.4	5.381
11332	33.96	56.59	59.07	63.11	45.3	24.45	24.32	76.63	65.68	69.63	28.34	30.52	42.69	38.49	39.77
54626	0.2481	0.0586	0	0.5882	0.9415	1.256	1.077	1.109	0.5764	0.3927	0.819	0.3589	2.438	0.4428	2.721
83715	19.07	20.13	7.499	11.67	29.45	13.61	14.2	25.65	20.69	21.82	16.44	20.13	33.46	21.39	20.57
100422975	0	0	7.41	39.8	0	0	0	0	0	0	0	0	0	0	0
8718	3.146	6.713	4.508	7.687	4.855	2.878	3.595	6.081	7.276	4.998	5.3	8.735	6.758	24.13	13.93
57449	0.7088	2.03	0.7562	4.516	7.411	2.147	3.783	9.846	4.661	6.123	3.137	4.252	12.91	12.72	9.157
79707	3.682	5.573	5.576	6.745	4.18	3.491	6.153	2.982	2.06	2.084	3.445	4.899	3.137	3.15	3.842
80835	0.1242	0.1467	0.2377	0	0.04286	1.029	0.7193	0.03967	0.07215	0	0.2237	0.04228	0.03756	0.2419	1.194
107984912	0	0.14	0	4.919	0	2.546	0	0.3786	0.1377	0	0	0.4035	0.3584	0	1.425
3104	3.801	4.488	3.962	14.91	7.739	5.722	7.386	12.25	11.69	13.8	5.254	4.701	11.17	13.13	8.829
9903	0.9207	4.424	1.953	1.967	8.014	1.412	5.579	5.128	6.565	6.683	8.031	10.82	8.609	8.059	5.565
107984913	0.1073	0	0.1184	1.59	0.04627	3.21	0	0	0.03116	0	0.161	0.5478	0	0	0
148479	5.144	8.365	6.74	6.522	16.32	12.07	13.04	15.4	19.47	18.17	10.9	9.573	19.05	13.64	12.98
90326	7.465	12.62	10.32	12.15	13.85	7.33	10.03	14.15	12.56	12.83	10.42	10.73	13.59	13.28	12.45
55735	7.192	14.23	14.55	17.81	29.57	13.65	18.78	21.6	20.04	22.67	15.84	21.12	15.19	20.43	23.93
100505887	0	0.2575	0	0	0	0	0	0	0.5065	0	0.8179	0	3.626	0	2.293
110841581	2.107	4.863	2.96	6.813	2.478	0	11.79	0.7647	1.558	0.3369	3.88	0.978	2.896	0.9324	2.302
23261	2.676	3.433	2.632	4.546	3.993	4.076	4.765	3.587	5.029	3.307	3.643	3.345	5.101	2.806	5.566
105376692	0.2728	0.08052	0.1004	0.1347	0.03921	0	6.252	0	0	0	0.06821	0.07737	0	0	0.3415
102725193	1.99	0.1678	0	2.949	0.1226	8.503	0	0	0	0	0.5332	0.8465	1.074	0	0
101928836	0	0	0	2.964	0	3.726	0.2586	0.05704	0	0	0.3216	0	0	0	0.644
105376691	0	0.4067	0	0	1.188	0	0	0	1.4	0	0	0	7.811	0	0.5175
105376689	0.2835	0.2301	0.5084	0.945	0.5653	0.1902	5.642	0.3112	0.3498	0.3115	0.2525	0.1809	0.1875	0.1725	0.6654
9341	25.12	27.91	24.07	34.07	102.9	94.95	89.45	120.6	159.6	148.5	73.57	71.58	96	121.8	155.3
8863	1.144	1.072	1.043	2.248	3.626	2.614	4.366	7.269	8.451	8.366	2.025	3.249	6.036	7.426	9.436
10911	2.92	0.1834	1.554	0.9206	2.09	3.05	1.799	0.7936	1.876	0.7102	1.072	1.004	0	1.109	1.587
3604	2.155	0.2454	3.081	3.284	0.2655	1.062	2.395	0.1106	1.269	0.6767	0.1386	0.4715	1.21	1.461	2.058
11315	247.1	327.5	283.7	343.7	340.3	301.2	281.3	196.7	240.8	170.9	366.7	229.1	188	145.3	196.7
54206	6.057	2.561	1.596	4.499	20.86	26.12	17.88	62.12	47.47	66.53	17.13	21.99	128.1	57.04	48.29
107984915	0	0	0	0	0	0	0	0	0	0	0	0	1.619	0	0
102724539	0.4256	0	2.035	0	0.367	1.305	0	0	0.1236	0	0	0	2.573	0	0
105376695	0	0	0	0	0	0	0	0.4797	1.396	0	4.508	0	0	0	0
50651	0.3316	0.4161	0.61	0.1228	0.572	0	2.4	0.09928	0.337	0	0.7464	0.1411	0.3133	0.1009	0.3114
473	4.797	7.279	6.985	8.329	15.24	8.143	8.407	22.79	21.67	25.77	7.187	13.94	30.87	25.52	20.06
